Index,Owner,Repo,Crawl status
1,vercel,swr,Done,
2,electron,electron-packager,Done,
3,probot,probot,Done,
4,microsoft,VFSForGit,Done,
5,git-ecosystem,git-credential-manager,Done,
6,elementary,mail,Done,
7,elementary,appcenter,Done,
8,elementary,terminal,Done,
9,elementary,music,Done,
10,elementary,calculator,Done,
11,appium,appium-desktop,Done,
12,revoltchat,desktop,Done,
13,sindresorhus,caprine,Done,
14,freeCodeCamp,mobile,Done,
15,electron,forge,Done,
16,kivy,kivy,Done,
17,CodeEditApp,CodeEdit,Done,
18,webtorrent,webtorrent-desktop,Done,
19,keystonejs,keystone,Done,
20,keystonejs,keystone-classic,Done,
21,hashicorp,terraform,Done,
22,hashicorp,vault,Done,
23,hashicorp,consul,Done,
24,hashicorp,nomad,Done,
25,hashicorp,terraform-provider-aws,Done,
26,hashicorp,terraform-cdk,Done,
27,hashicorp,terraform-provider-azurerm,Done,
28,hashicorp,terraform-provider-google,Done,
29,hashicorp,terraform-provider-kubernetes,Done,
30,gohugoio,hugo,Done,
31,vercel,next.js,Done,
32,vercel,turbo,Done,
33,irccloud,android,Done,
34,gotify,android,Done,
35,wallabag,android-app,Done,
36,jenkinsci,jenkins,Done,
37,jenkinsci,docker,Done,
38,jenkinsci,blueocean-plugin,Done,
39,jenkinsci,configuration-as-code-plugin,Done,
40,atom,atom,Done,
41,webpack,webpack,Done,
42,webpack,webpack-dev-server,Done,
43,webpack,webpack-cli,Done,
44,webpack,webpack-dev-middleware,Done,
45,emberjs,ember.js,Done,
46,emberjs,data,Done,
47,storybookjs,storybook,Done,
48,storybookjs,design-system,Done,
49,storybookjs,builder-vite,Done,
50,Lightning-AI,lightning,Done,
51,Lightning-AI,torchmetrics,Done,
52,jekyll,jekyll,Done,
53,jekyll,minima,Done,
54,jekyll,jekyll-admin,Done,
55,jekyll,jekyll-seo-tag,Done,
56,jekyll,jekyll-feed,Done,
57,remix-run,react-router,Done,
58,tailwindlabs,tailwindcss,Done,
59,tailwindlabs,headlessui,Done,
60,tailwindlabs,tailwindcss-intellisense,Done,
61,laravel,passport,Done,
62,laravel,laravel,Done,
63,laravel,framework,Done,
64,laravel,socialite,Done,
65,laravel,telescope,Done,
66,laravel,homestead,Done,
67,laravel,jetstream,Done,
68,laravel,horizon,Done,
69,laravel,octane,Done,
70,laravel,valet,Done,
71,laravel,breeze,Done,
72,laravel,cashier-stripe,Done,
73,laravel,dusk,Done,
74,redux-saga,redux-saga,Done,
75,react-bootstrap,react-bootstrap,Done,
76,nestjs,nest,Done,
77,nestjs,nest-cli,Done,
78,nestjs,typeorm,Done,
79,nestjs,swagger,Done,
80,nestjs,graphql,Done,
81,nestjs,bull,Done,
82,tiangolo,fastapi,Done,
83,tiangolo,typer,Done,
84,sanic-org,sanic,Done,
85,JuliaLang,IJulia.jl,Done,
86,JuliaLang,PackageCompiler.jl,Done,
87,pixijs,pixijs,Done,
88,pixijs,pixi-react,Done,
89,pixijs,filters,Done,
90,Genymobile,scrcpy,Done,
91,Genymobile,gnirehtet,Done,
92,electron,electron,Done,
93,bitwarden,mobile,Done,
94,koel,koel,Done,
95,spotDL,spotify-downloader,Done,
96,amirzaidi,Launcher3,Done,
97,Heroic-Games-Launcher,HeroicGamesLauncher,Done,
98,laurent22,joplin,Done,
99,iina,iina,Done,
100,hidroh,materialistic,Done,
101,Athou,commafeed,Done,
102,trizen,youtube-viewer,Done,
103,Anuken,Mindustry,Done,
104,diasurgical,devilutionX,Done,
105,yairm210,Unciv,Done,
