Owner,Repo,NumCommits,NumChangelogSentences
electron,electron,25888,6381
electron,electron-packager,1160,243
probot,probot,1542,756
microsoft,VFSForGit,2440,191
git-ecosystem,git-credential-manager,1379,194
elementary,mail,419,58
elementary,photos,3729,33
elementary,appcenter,1319,192
elementary,terminal,1213,94
elementary,music,111,50
elementary,calculator,376,35
appium,appium-desktop,1132,188
revoltchat,desktop,82,31
sindresorhus,caprine,846,408
freeCodeCamp,mobile,714,201
mullvad,mullvadvpn-app,16003,1437
electron,forge,2818,433
ProtonVPN,linux-app,470,25
kivy,kivy,11686,1075
CodeEditApp,CodeEdit,1461,149
webtorrent,webtorrent-desktop,2403,364
keystonejs,keystone,7057,2882
keystonejs,keystone-classic,8048,934
hashicorp,terraform,26891,1556
hashicorp,vault,14962,1447
hashicorp,consul,18209,1339
hashicorp,packer,16487,395
hashicorp,nomad,23056,1437
hashicorp,terraform-provider-aws,59629,5368
hashicorp,waypoint,10385,770
hashicorp,terraform-cdk,5295,966
hashicorp,terraform-provider-azurerm,25243,5858
hashicorp,terraform-provider-google,7322,2003
hashicorp,terraform-provider-kubernetes,1222,372
gohugoio,hugo,7171,5043
vercel,next.js,15380,13210
vercel,swr,772,1214
vercel,turbo,4287,2480
irccloud,android,2779,414
gotify,android,346,84
wallabag,android-app,1850,270
