,Repo,Num Raw Commit,Num Release Note
0,vercel_swr,783,98
1,electron_electron-packager,1188,73
2,probot_probot,1661,234
3,microsoft_VFSForGit,2502,30
4,git-ecosystem_git-credential-manager,1520,39
5,elementary_mail,1314,13
6,elementary_photos,5702,16
7,elementary_appcenter,5508,42
8,elementary_terminal,2971,23
9,elementary_music,233,13
10,elementary_calculator,1364,16
11,appium_appium-desktop,1168,78
12,revoltchat_desktop,83,7
13,sindresorhus_caprine,924,121
14,freeCodeCamp_mobile,737,11
15,mullvad_mullvadvpn-app,17115,113
16,electron_forge,2969,33
17,ProtonVPN_linux-app,500,17
18,kivy_kivy,12787,9
19,CodeEditApp_CodeEdit,1783,23
20,webtorrent_webtorrent-desktop,2580,38
21,keystonejs_keystone,7464,49
22,keystonejs_keystone-classic,8795,16
23,hashicorp_terraform,31115,248
24,hashicorp_vault,17304,90
25,hashicorp_consul,19988,137
26,hashicorp_packer,18183,38
27,hashicorp_nomad,24628,123
28,hashicorp_terraform-provider-aws,69598,220
29,hashicorp_waypoint,11614,40
30,hashicorp_terraform-cdk,5920,74
31,hashicorp_terraform-provider-azurerm,27351,197
32,hashicorp_terraform-provider-google,8590,158
33,hashicorp_terraform-provider-kubernetes,1367,45
34,gohugoio_hugo,7528,218
35,vercel_next.js,15846,1843
36,vercel_turbo,4612,229
37,irccloud_android,3143,109
38,gotify_android,354,29
39,wallabag_android-app,2117,53
40,jenkinsci_jenkins,33709,261
41,jenkinsci_docker,1460,10
42,jenkinsci_blueocean-plugin,4388,45
43,jenkinsci_configuration-as-code-plugin,1636,71
44,atom_atom,38533,538
45,atom_teletype,1097,16
46,webpack_webpack,15933,395
47,webpack_webpack-dev-server,2451,125
48,webpack_webpack-cli,3399,63
49,webpack_webpack-dev-middleware,1221,61
50,emberjs_ember.js,22199,488
51,emberjs_data,8141,180
52,django-cms_django-cms,16097,7
53,storybookjs_storybook,50429,1206
54,storybookjs_design-system,1434,190
55,storybookjs_builder-vite,347,50
56,Lightning-AI_lightning,9260,133
57,Lightning-AI_torchmetrics,1273,32
58,jekyll_jekyll,11639,107
59,jekyll_minima,460,12
60,jekyll_jekyll-admin,1487,20
61,jekyll_jekyll-seo-tag,627,27
62,jekyll_jekyll-feed,447,34
63,remix-run_react-router,6086,248
64,tailwindlabs_tailwindcss,5159,212
65,tailwindlabs_headlessui,595,81
66,tailwindlabs_tailwindcss-intellisense,776,66
67,laravel_horizon,1252,118
68,laravel_valet,1631,128
69,laravel_cashier-stripe,1794,134
70,redux-saga_redux-saga,1939,70
71,react-bootstrap_react-bootstrap,4457,52
72,nestjs_nest,13392,84
73,nestjs_nest-cli,2911,118
74,nestjs_typeorm,1715,25
75,nestjs_swagger,2346,82
76,nestjs_graphql,3197,113
77,nestjs_bull,1893,13
78,tiangolo_fastapi,2833,150
79,tiangolo_typer,457,26
80,sanic-org_sanic,2782,67
81,JuliaLang_julia,54473,139
82,JuliaLang_IJulia.jl,713,43
83,JuliaLang_PackageCompiler.jl,698,59
84,pixijs_pixijs,6479,200
85,pixijs_pixi-react,880,112
86,pixijs_filters,371,48
87,Genymobile_scrcpy,2107,30
88,Genymobile_gnirehtet,666,11
89,electron_electron,27328,1192
90,laravel_passport,1145,81
91,laravel_laravel,6898,143
92,laravel_framework,35740,627
93,laravel_socialite,751,43
94,laravel_telescope,1852,104
95,laravel_homestead,1258,177
96,laravel_jetstream,968,134
97,laravel_octane,681,74
98,laravel_breeze,339,70
99,laravel_dusk,1192,85
